"word","star1","star2","star3","star4","star5","idf","idf_star","diversity"
"worst_food_poisoning",1.02425539193645e-05,2.27354781680297e-07,0,0,0,9.34759227393891,0.916290731874155,2.17588049984837
"worst_food",0.000103449794585581,9.77625561225279e-06,9.37580353566239e-07,2.593816393594e-07,3.24835422133376e-07,6.95637110822823,0,1.96868170395874
"racism",1.76684055109037e-05,9.09419126721189e-07,4.6879017678312e-07,2.593816393594e-07,3.24835422133376e-07,8.84165663546711,0,1.95771708927108
"worst_customer_service",0.000131616817863833,1.40959964641784e-05,1.64076561874092e-06,5.187632787188e-07,0,6.70853494432365,0.22314355131421,1.93882688197548
"worst_experience",0.000236859059385303,2.38722520764312e-05,3.28153123748184e-06,5.187632787188e-07,1.94901253280026e-06,6.11130788564244,0,1.93370355427555
"disrespected",3.27761725419663e-05,3.18296694352416e-06,1.1719754419578e-06,5.187632787188e-07,0,8.09135104106721,0.22314355131421,1.88110111972403
"horrible_customer_service",0.000127263732448104,1.50054155908996e-05,4.45350667943964e-06,7.781449180782e-07,3.24835422133376e-07,6.71027862392847,0,1.85809082193307
"roaches",1.43395754871103e-05,1.59148347176208e-06,2.3439508839156e-07,5.187632787188e-07,0,8.93402995559812,0.22314355131421,1.85228052666278
"thieves",8.7061708314598e-06,4.54709563360595e-07,4.6879017678312e-07,0,6.49670844266752e-07,9.39760269451357,0.22314355131421,1.81205846862586
"highly_recommender",2.56063847984112e-07,2.27354781680297e-07,7.03185265174679e-07,1.296908196797e-06,1.2993416885335e-05,9.14914133521507,0,1.79303149558008
"unethical",1.28031923992056e-05,1.59148347176208e-06,4.6879017678312e-07,5.187632787188e-07,0,9.00072133009679,0.22314355131421,1.77755950934914
"horrible_food",9.8584581473883e-05,1.63695442809814e-05,3.04713614909028e-06,7.781449180782e-07,3.24835422133376e-07,6.9063062466268,0,1.77607215186385
"worst_service",0.000376669920384628,6.36593388704833e-05,1.33605200383189e-05,2.0750531148752e-06,1.94901253280026e-06,5.56673412561165,0,1.76327202687769
"terrible_food",0.000104217986129533,1.75063181893829e-05,3.5159263258734e-06,1.0375265574376e-06,6.49670844266752e-07,6.85257431454658,0,1.75723686375482
"vomiting",5.07006419008541e-05,6.36593388704833e-06,2.81274106069872e-06,1.0375265574376e-06,6.49670844266752e-07,7.63181871168877,0,1.75239613905201
"amok",3.84095771976168e-06,2.66005094565948e-05,0.000246349237899529,1.91942413125956e-05,3.89802506560051e-06,5.9878946231835,0,1.74487622530252
"horrible_experience",0.000192303949836068,2.70552190199554e-05,6.09427229818055e-06,3.890724590391e-06,5.84703759840077e-06,6.24114797596908,0,1.73807862786919
"riddance",8.45010698347569e-06,1.81883825344238e-06,2.3439508839156e-07,0,0,9.32349472235984,0.510825623765991,1.72795268701249
"unprofessionally",8.7061708314598e-06,1.59148347176208e-06,0,5.187632787188e-07,0,9.32349472235984,0.510825623765991,1.71722636795594
"discriminated",1.58759585750149e-05,2.50090259848327e-06,4.6879017678312e-07,5.187632787188e-07,3.24835422133376e-07,8.7436762271069,0,1.7099506380696
